,id,zipcode,condition,price_median_region,price,recommendation
1,4060000240,98178,4,279000.0,205425.0,Buy
10,561000075,98178,4,279000.0,260000.0,Buy
19,3352402236,98178,5,279000.0,252500.0,Buy
27,185000118,98178,5,279000.0,212000.0,Buy
35,3810000465,98178,4,279000.0,243000.0,Buy
66,8068000585,98178,5,279000.0,235000.0,Buy
68,7129300420,98178,5,279000.0,258000.0,Buy
79,1180008315,98178,5,279000.0,212000.0,Buy
110,1180007005,98178,4,279000.0,265950.0,Buy
114,4058801065,98178,5,279000.0,272000.0,Buy
122,7812801925,98178,4,279000.0,230000.0,Buy
129,7812800681,98178,4,279000.0,166000.0,Buy
131,1180002735,98178,4,279000.0,269000.0,Buy
135,4279900140,98178,5,279000.0,251000.0,Buy
144,3352402272,98178,4,279000.0,230000.0,Buy
176,3348401622,98178,5,279000.0,223000.0,Buy
183,1180005280,98178,4,279000.0,239950.0,Buy
186,3352400351,98178,4,279000.0,200000.0,Buy
195,1180005220,98178,4,279000.0,225000.0,Buy
199,7657600005,98178,4,279000.0,249950.0,Buy
207,4059400585,98178,4,279000.0,218000.0,Buy
211,7689600630,98178,4,279000.0,216500.0,Buy
212,4059400190,98178,4,279000.0,225000.0,Buy
215,4060000290,98178,5,279000.0,253000.0,Buy
222,3347401315,98178,4,279000.0,220000.0,Buy
241,2144800146,98178,5,279000.0,257500.0,Buy
271,1455100116,98125,4,425000.0,397500.0,Buy
277,751000060,98125,4,425000.0,353000.0,Buy
281,6370000070,98125,4,425000.0,359000.0,Buy
285,2126049032,98125,5,425000.0,375000.0,Buy
287,3226049117,98125,4,425000.0,387500.0,Buy
289,6632300478,98125,4,425000.0,400000.0,Buy
295,4427100105,98125,5,425000.0,398000.0,Buy
304,9324800110,98125,5,425000.0,420000.0,Buy
306,6381501636,98125,4,425000.0,320000.0,Buy
314,7663700261,98125,4,425000.0,395000.0,Buy
320,6855700115,98125,4,425000.0,357250.0,Buy
323,1787600164,98125,4,425000.0,310000.0,Buy
325,3992700265,98125,4,425000.0,385100.0,Buy
339,1454100056,98125,5,425000.0,355000.0,Buy
345,7663700551,98125,4,425000.0,336000.0,Buy
372,8820900670,98125,4,425000.0,399950.0,Buy
381,7715600050,98125,4,425000.0,385000.0,Buy
384,1454100480,98125,4,425000.0,378500.0,Buy
396,4427100025,98125,5,425000.0,270000.0,Buy
400,6381500065,98125,5,425000.0,376500.0,Buy
415,5272200040,98125,4,425000.0,375000.0,Buy
429,3992700775,98125,4,425000.0,410000.0,Buy
453,6413100311,98125,5,425000.0,390000.0,Buy
460,7663700783,98125,4,425000.0,369500.0,Buy
491,3992700326,98125,4,425000.0,380000.0,Buy
493,3448002267,98125,4,425000.0,385000.0,Buy
504,7663700772,98125,4,425000.0,370000.0,Buy
514,6414100133,98125,5,425000.0,337000.0,Buy
526,705000120,98125,4,425000.0,395000.0,Buy
550,8820903560,98125,4,425000.0,380000.0,Buy
554,6413600285,98125,5,425000.0,402000.0,Buy
557,3834500170,98125,4,425000.0,375000.0,Buy
569,8632100010,98125,4,425000.0,365000.0,Buy
579,751000190,98125,4,425000.0,355000.0,Buy
581,9421500130,98125,4,425000.0,378000.0,Buy
584,8901000491,98125,4,425000.0,390000.0,Buy
603,6381500265,98125,4,425000.0,397000.0,Buy
615,9324800025,98125,4,425000.0,325500.0,Buy
616,4077800258,98125,4,425000.0,400000.0,Buy
621,3822200087,98125,4,425000.0,355000.0,Buy
628,8822900115,98125,5,425000.0,306000.0,Buy
633,5667100025,98125,5,425000.0,405000.0,Buy
634,6381500110,98125,4,425000.0,330000.0,Buy
662,114101516,98028,4,442500.0,310000.0,Buy
665,5634500392,98028,4,442500.0,330000.0,Buy
666,3649100320,98028,5,442500.0,330000.0,Buy
669,8718500075,98028,5,442500.0,396000.0,Buy
676,4140900140,98028,4,442500.0,438000.0,Buy
687,7297700055,98028,4,442500.0,306000.0,Buy
708,2570500090,98028,4,442500.0,385000.0,Buy
709,3649100315,98028,4,442500.0,418800.0,Buy
710,3949600090,98028,4,442500.0,335000.0,Buy
711,6179900090,98028,4,442500.0,415000.0,Buy
715,8718500495,98028,4,442500.0,375000.0,Buy
743,3582750280,98028,4,442500.0,347000.0,Buy
749,3582750170,98028,4,442500.0,410000.0,Buy
752,5628400080,98028,4,442500.0,420000.0,Buy
760,3824100235,98028,4,442500.0,425000.0,Buy
763,3649100306,98028,4,442500.0,379900.0,Buy
765,3579700100,98028,4,442500.0,389000.0,Buy
776,3815500035,98028,4,442500.0,385000.0,Buy
782,2570500230,98028,4,442500.0,400000.0,Buy
783,3649100276,98028,4,442500.0,368000.0,Buy
797,1357300240,98028,4,442500.0,333500.0,Buy
809,3816300105,98028,4,442500.0,435000.0,Buy
816,3818700016,98028,5,442500.0,434000.0,Buy
819,114100354,98028,4,442500.0,249000.0,Buy
834,3582750120,98028,4,442500.0,409000.0,Buy
851,5631500905,98028,5,442500.0,272925.0,Buy
853,114100297,98028,5,442500.0,400000.0,Buy
858,5634500182,98028,4,442500.0,396000.0,Buy
860,114101426,98028,4,442500.0,375000.0,Buy
863,8045600130,98028,4,442500.0,425000.0,Buy
870,4140500050,98028,4,442500.0,362000.0,Buy
878,3818700190,98028,4,442500.0,387846.0,Buy
880,3649100346,98028,4,442500.0,322968.0,Buy
881,4189800050,98028,4,442500.0,335000.0,Buy
883,766900250,98028,4,442500.0,406000.0,Buy
885,3818700185,98028,4,442500.0,400000.0,Buy
886,6181700250,98028,5,442500.0,350000.0,Buy
890,3579800405,98028,4,442500.0,440000.0,Buy
892,3649100031,98028,4,442500.0,345000.0,Buy
903,5631501161,98028,4,442500.0,425000.0,Buy
906,3824100211,98028,4,442500.0,370000.0,Buy
910,8718500610,98028,4,442500.0,379950.0,Buy
946,9238901420,98136,4,489950.0,442000.0,Buy
952,7625701891,98136,4,489950.0,435000.0,Buy
962,3013301525,98136,5,489950.0,453500.0,Buy
965,2493200435,98136,4,489950.0,360000.0,Buy
982,2594200375,98136,5,489950.0,427500.0,Buy
984,9417400215,98136,4,489950.0,363000.0,Buy
990,3522900061,98136,4,489950.0,418000.0,Buy
994,2461900945,98136,4,489950.0,438000.0,Buy
1011,7625703637,98136,4,489950.0,286000.0,Buy
1019,7626200280,98136,4,489950.0,425000.0,Buy
1021,7104100050,98136,5,489950.0,485000.0,Buy
1026,3013300968,98136,4,489950.0,416500.0,Buy
1033,4315700175,98136,4,489950.0,440000.0,Buy
1041,7104100065,98136,4,489950.0,425000.0,Buy
1052,312000295,98136,5,489950.0,400000.0,Buy
1066,5705500075,98136,4,489950.0,388000.0,Buy
1068,1090000075,98136,5,489950.0,393000.0,Buy
1074,4322200105,98136,4,489950.0,229050.0,Buy
1076,2594200350,98136,4,489950.0,445000.0,Buy
1081,3560800040,98136,4,489950.0,400000.0,Buy
1082,7625703405,98136,4,489950.0,431000.0,Buy
1083,2810100040,98136,4,489950.0,485000.0,Buy
1094,7625703065,98136,4,489950.0,375000.0,Buy
1095,9100000040,98136,4,489950.0,480000.0,Buy
1112,3123800080,98136,4,489950.0,365000.0,Buy
1115,7625701900,98136,4,489950.0,467500.0,Buy
1120,826000480,98136,4,489950.0,448500.0,Buy
1131,7626200235,98136,4,489950.0,464600.0,Buy
1135,2815600235,98136,4,489950.0,450600.0,Buy
1165,9557200090,98136,4,489950.0,399000.0,Buy
1182,3524039228,98136,4,489950.0,394000.0,Buy
1207,6054650070,98074,4,645000.0,400000.0,Buy
1250,6054650510,98074,4,645000.0,347000.0,Buy
1256,8644400060,98074,4,645000.0,568000.0,Buy
1263,7715801040,98074,4,645000.0,465000.0,Buy
1272,7504400850,98074,4,645000.0,442000.0,Buy
1276,1925069006,98074,4,645000.0,355000.0,Buy
1280,1825069031,98074,4,645000.0,550000.0,Buy
1297,6817800630,98074,4,645000.0,385000.0,Buy
1314,3578401060,98074,4,645000.0,345000.0,Buy
1342,2872900280,98074,4,645000.0,540000.0,Buy
1344,8078410280,98074,4,645000.0,550000.0,Buy
1346,6817801150,98074,4,645000.0,555000.0,Buy
1348,3578400780,98074,4,645000.0,508800.0,Buy
1358,3575303970,98074,4,645000.0,340000.0,Buy
1362,3575304895,98074,4,645000.0,406550.0,Buy
1365,7504001080,98074,4,645000.0,590000.0,Buy
1370,8562901250,98074,4,645000.0,516000.0,Buy
1374,6600220150,98074,4,645000.0,549950.0,Buy
1379,3325069060,98074,4,645000.0,510000.0,Buy
1387,8644400040,98074,4,645000.0,605000.0,Buy
1388,7715801030,98074,4,645000.0,510000.0,Buy
1420,8562900310,98074,4,645000.0,615000.0,Buy
1429,7504180070,98074,5,645000.0,577000.0,Buy
1437,3575301550,98074,5,645000.0,560000.0,Buy
1452,3575200030,98074,4,645000.0,549000.0,Buy
1481,8562900180,98074,4,645000.0,491300.0,Buy
1482,1939120540,98074,4,645000.0,640000.0,Buy
