,id,zipcode,season,price_median_region,price_median_season,price,recommendation_price,profit
1,4060000240,98178,summer,279000.0,265475.0,205425.0,267052.5,61627.5
10,561000075,98178,winter,279000.0,275000.0,260000.0,338000.0,78000.0
19,3352402236,98178,winter,279000.0,275000.0,252500.0,328250.0,75750.0
27,185000118,98178,winter,279000.0,275000.0,212000.0,275600.0,63600.0
35,3810000465,98178,spring,279000.0,287500.0,243000.0,315900.0,72900.0
66,8068000585,98178,summer,279000.0,265475.0,235000.0,305500.0,70500.0
68,7129300420,98178,winter,279000.0,275000.0,258000.0,335400.0,77400.0
79,1180008315,98178,summer,279000.0,265475.0,212000.0,275600.0,63600.0
110,1180007005,98178,summer,279000.0,265475.0,265950.0,398925.0,132975.0
114,4058801065,98178,summer,279000.0,265475.0,272000.0,408000.0,136000.0
122,7812801925,98178,summer,279000.0,265475.0,230000.0,299000.0,69000.0
129,7812800681,98178,winter,279000.0,275000.0,166000.0,215800.0,49800.0
131,1180002735,98178,fall,279000.0,290500.0,269000.0,349700.0,80700.0
135,4279900140,98178,fall,279000.0,290500.0,251000.0,326300.0,75300.0
144,3352402272,98178,summer,279000.0,265475.0,230000.0,299000.0,69000.0
176,3348401622,98178,summer,279000.0,265475.0,223000.0,289900.0,66900.0
183,1180005280,98178,summer,279000.0,265475.0,239950.0,311935.0,71985.0
186,3352400351,98178,fall,279000.0,290500.0,200000.0,260000.0,60000.0
195,1180005220,98178,spring,279000.0,287500.0,225000.0,292500.0,67500.0
199,7657600005,98178,fall,279000.0,290500.0,249950.0,324935.0,74985.0
207,4059400585,98178,summer,279000.0,265475.0,218000.0,283400.0,65400.0
211,7689600630,98178,fall,279000.0,290500.0,216500.0,281450.0,64950.0
212,4059400190,98178,fall,279000.0,290500.0,225000.0,292500.0,67500.0
215,4060000290,98178,summer,279000.0,265475.0,253000.0,328900.0,75900.0
222,3347401315,98178,summer,279000.0,265475.0,220000.0,286000.0,66000.0
241,2144800146,98178,summer,279000.0,265475.0,257500.0,334750.0,77250.0
271,1455100116,98125,winter,425000.0,430000.0,397500.0,516750.0,119250.0
277,751000060,98125,spring,425000.0,410000.0,353000.0,458900.0,105900.0
281,6370000070,98125,fall,425000.0,431750.0,359000.0,466700.0,107700.0
285,2126049032,98125,fall,425000.0,431750.0,375000.0,487500.0,112500.0
287,3226049117,98125,winter,425000.0,430000.0,387500.0,503750.0,116250.0
289,6632300478,98125,fall,425000.0,431750.0,400000.0,520000.0,120000.0
295,4427100105,98125,spring,425000.0,410000.0,398000.0,517400.0,119400.0
304,9324800110,98125,summer,425000.0,423500.0,420000.0,546000.0,126000.0
306,6381501636,98125,summer,425000.0,423500.0,320000.0,416000.0,96000.0
314,7663700261,98125,fall,425000.0,431750.0,395000.0,513500.0,118500.0
320,6855700115,98125,summer,425000.0,423500.0,357250.0,464425.0,107175.0
323,1787600164,98125,summer,425000.0,423500.0,310000.0,403000.0,93000.0
325,3992700265,98125,summer,425000.0,423500.0,385100.0,500630.0,115530.0
339,1454100056,98125,summer,425000.0,423500.0,355000.0,461500.0,106500.0
345,7663700551,98125,spring,425000.0,410000.0,336000.0,436800.0,100800.0
372,8820900670,98125,summer,425000.0,423500.0,399950.0,519935.0,119985.0
381,7715600050,98125,winter,425000.0,430000.0,385000.0,500500.0,115500.0
